time,src_ip,protocol,length
2026-01-15 23:58:12.964677,IPv6,QUIC,1292
2026-01-15 23:58:12.964677,IPv6,QUIC,322
2026-01-15 23:58:12.965355,IPv6,QUIC,185
2026-01-15 23:58:12.965407,IPv6,QUIC,133
2026-01-15 23:58:12.976799,IPv6,TLS,1486
2026-01-15 23:58:12.977925,IPv6,TCP,1486
2026-01-15 23:58:12.978109,IPv6,TCP,74
2026-01-15 23:58:12.999623,IPv6,QUIC,365
2026-01-15 23:58:12.999805,IPv6,QUIC,124
2026-01-15 23:58:13.000045,IPv6,QUIC,93
2026-01-15 23:58:13.000294,IPv6,QUIC,83
2026-01-15 23:58:13.000294,IPv6,QUIC,144
2026-01-15 23:58:13.000451,IPv6,QUIC,93
2026-01-15 23:58:13.008737,IPv6,TCP,1486
2026-01-15 23:58:13.008737,IPv6,TCP,1486
2026-01-15 23:58:13.008868,IPv6,TCP,74
2026-01-15 23:58:13.011681,IPv6,TCP,1486
2026-01-15 23:58:13.012126,IPv6,TCP,1486
2026-01-15 23:58:13.012150,IPv6,TCP,74
2026-01-15 23:58:13.015025,IPv6,TCP,1486
2026-01-15 23:58:13.015428,IPv6,TCP,1486
2026-01-15 23:58:13.015487,IPv6,TCP,74
2026-01-15 23:58:13.018735,IPv6,TCP,1486
2026-01-15 23:58:13.019074,IPv6,TCP,1486
2026-01-15 23:58:13.019133,IPv6,TCP,74
2026-01-15 23:58:13.022804,IPv6,TCP,1486
2026-01-15 23:58:13.023272,IPv6,TLS,1486
2026-01-15 23:58:13.023331,IPv6,TCP,74
2026-01-15 23:58:13.027087,IPv6,TCP,1486
2026-01-15 23:58:13.027640,IPv6,TCP,1486
2026-01-15 23:58:13.027697,IPv6,TCP,74
2026-01-15 23:58:13.028512,IPv6,QUIC,87
2026-01-15 23:58:13.031512,IPv6,TCP,1486
2026-01-15 23:58:13.031963,IPv6,TCP,1486
2026-01-15 23:58:13.032018,IPv6,TCP,74
2026-01-15 23:58:13.032811,IPv6,TLS,159
2026-01-15 23:58:13.035667,IPv6,TLS,155
2026-01-15 23:58:13.035735,IPv6,TCP,74
2026-01-15 23:58:13.037149,IPv6,TCP,1486
2026-01-15 23:58:13.037149,IPv6,TLS,1486
2026-01-15 23:58:13.037242,IPv6,TCP,74
2026-01-15 23:58:13.039696,IPv6,TCP,1486
2026-01-15 23:58:13.040159,IPv6,TCP,1486
2026-01-15 23:58:13.040214,IPv6,TCP,74
2026-01-15 23:58:13.043827,IPv6,TCP,1486
2026-01-15 23:58:13.044208,IPv6,TCP,1486
2026-01-15 23:58:13.044264,IPv6,TCP,74
2026-01-15 23:58:13.048179,IPv6,TCP,1486
